Track,Track Version,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime (HH:MM:SS)
dh,2024all,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,0.5267857142857143,0.4741429591476526,0.4741429591476526,0.4453569242965604,0.6460176991150443,0.43452380952380953,0.43452380952380953,0.5195729537366548,73,73,40,95,113,15922708511,00:00:15
dh,2024all,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dh,2024all,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dh,2024all,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.5267857142857142,0.47414295914765253,0.47414295914765253,0.4453569242965604,0.6460176991150443,0.43452380952380953,0.43452380952380953,0.5195729537366548,73,73,40,95,113,-,-
dh,2024all,matcha.tar.gz,ALL,0.6087598116169545,0.6828535669586985,0.6828535669586983,0.6121895232630347,0.44571428571428573,0.6724137931034483,0.6724137931034483,0.5360824742268041,78,78,97,38,175,15075399730,00:00:15
dh,2024all,matcha.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dh,2024all,matcha.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dh,2024all,matcha.tar.gz,INSTANCES,0.6087598116169545,0.6828535669586984,0.6828535669586984,0.6121895232630347,0.44571428571428573,0.6724137931034483,0.6724137931034483,0.5360824742268041,78,78,97,38,175,-,-
dh,2024all,https://match.tomato.irit.fr/match,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,168,7,21490258280,00:00:21
dh,2024all,https://match.tomato.irit.fr/match,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dh,2024all,https://match.tomato.irit.fr/match,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dh,2024all,https://match.tomato.irit.fr/match,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,168,0,-,-
dh,2024all,logmap-melt-oaei-2021-web-latest.tar.gz,ALL,0.3861609572775666,0.8224393071467538,0.822439307146754,0.4765895622302945,0.38263665594855306,0.7083333333333334,0.7083333333333334,0.49686847599164924,119,119,192,49,311,13147572323,00:00:13
dh,2024all,logmap-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dh,2024all,logmap-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dh,2024all,logmap-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.3861609572775666,0.8224393071467538,0.8224393071467541,0.47658956223029453,0.38263665594855306,0.7083333333333334,0.7083333333333334,0.49686847599164924,119,119,192,49,311,-,-
dh,2024all,logmap-lite-melt-oaei-2021-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,168,18,1336552808785,00:22:16
dh,2024all,logmap-lite-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,18,-,-
dh,2024all,logmap-lite-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dh,2024all,logmap-lite-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,168,0,-,-
dh,2024all,logmap-kg-melt-oaei-2021-web-latest.tar.gz,ALL,0.6800751879699248,0.6449762924809859,0.6449762924809859,0.6063863360612664,0.6818181818181818,0.5357142857142857,0.5357142857142857,0.6,90,90,42,78,132,11981786448,00:00:11
dh,2024all,logmap-kg-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dh,2024all,logmap-kg-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dh,2024all,logmap-kg-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.6800751879699248,0.6449762924809859,0.6449762924809859,0.6063863360612662,0.6818181818181818,0.5357142857142857,0.5357142857142857,0.6,90,90,42,78,132,-,-
