Track,Track Version,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
dh,2024all,dha-unesco,lsmatch-multilingual-2.0-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0,1,10,1,2600125787,00:00:02
dh,2024all,dha-unesco,lsmatch-multilingual-2.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,1,0,1,-,-
dh,2024all,dha-unesco,lsmatch-multilingual-2.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,dha-unesco,lsmatch-multilingual-2.0-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0,0,10,0,-,-
dh,2024all,defc-pactols,lsmatch-multilingual-2.0-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0,1,10,1,3450041282,00:00:03
dh,2024all,defc-pactols,lsmatch-multilingual-2.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,1,0,1,-,-
dh,2024all,defc-pactols,lsmatch-multilingual-2.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,defc-pactols,lsmatch-multilingual-2.0-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0,0,10,0,-,-
dh,2024all,oeai-parthenos,lsmatch-multilingual-2.0-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0,1,47,1,1815263874,00:00:01
dh,2024all,oeai-parthenos,lsmatch-multilingual-2.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,1,0,1,-,-
dh,2024all,oeai-parthenos,lsmatch-multilingual-2.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,oeai-parthenos,lsmatch-multilingual-2.0-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0,0,47,0,-,-
dh,2024all,tadirah-unesco,lsmatch-multilingual-2.0-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0,1,15,1,2422338401,00:00:02
dh,2024all,tadirah-unesco,lsmatch-multilingual-2.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,1,0,1,-,-
dh,2024all,tadirah-unesco,lsmatch-multilingual-2.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,tadirah-unesco,lsmatch-multilingual-2.0-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0,0,15,0,-,-
dh,2024all,idai-parthenos,lsmatch-multilingual-2.0-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0,1,52,1,1284173902,00:00:01
dh,2024all,idai-parthenos,lsmatch-multilingual-2.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,1,0,1,-,-
dh,2024all,idai-parthenos,lsmatch-multilingual-2.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,idai-parthenos,lsmatch-multilingual-2.0-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0,0,52,0,-,-
dh,2024all,idai-pactols,lsmatch-multilingual-2.0-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0,1,17,1,3735565780,00:00:03
dh,2024all,idai-pactols,lsmatch-multilingual-2.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,1,0,1,-,-
dh,2024all,idai-pactols,lsmatch-multilingual-2.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,idai-pactols,lsmatch-multilingual-2.0-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0,0,17,0,-,-
dh,2024all,ironagedanube-pactols,lsmatch-multilingual-2.0-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0,1,5,1,1529097466,00:00:01
dh,2024all,ironagedanube-pactols,lsmatch-multilingual-2.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,1,0,1,-,-
dh,2024all,ironagedanube-pactols,lsmatch-multilingual-2.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,ironagedanube-pactols,lsmatch-multilingual-2.0-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0,0,5,0,-,-
dh,2024all,pactols-parthenos,lsmatch-multilingual-2.0-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0,1,12,1,1912617946,00:00:01
dh,2024all,pactols-parthenos,lsmatch-multilingual-2.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,1,0,1,-,-
